,Gender,Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Stress_Level (1-10),Sleep_Hours_per_Night,Grade
56,1,24,69.64,90.27,80.46,78.57,79.95,2.22,90.66,57.23,7.3,0,1,8,6.6,3
57,0,24,95.33,92.19,47.15,73.44,62.79,5.84,88.34,91.25,20.7,1,1,8,4.2,1
58,0,19,64.76,63.78,93.43,61.63,68.92,3.24,59.48,63.16,19.2,0,1,7,6.0,1
59,1,20,57.45,51.27,77.21,95.82,88.13,3.39,79.13,82.96,22.9,0,1,6,5.8,2
60,0,21,69.08,62.96,78.53,83.66,57.29,1.1,96.26,61.81,5.1,0,1,4,5.9,1
61,1,21,97.78,86.92,52.8,62.65,64.03,1.58,94.51,76.56,10.5,0,1,10,4.1,1
62,0,20,72.85,54.64,92.45,71.76,58.97,1.11,78.37,79.85,29.6,1,1,6,5.2,3
63,0,18,61.22,55.65,55.49,90.77,62.12,4.47,82.86,91.09,16.9,0,1,1,4.5,3
64,1,21,,71.29,73.21,87.31,97.36,3.2,85.14,65.0,17.9,1,1,2,6.7,1
65,1,21,,66.7,62.37,85.13,76.85,2.85,58.1,80.87,19.8,1,1,3,7.3,3
66,0,22,56.49,96.34,91.44,91.23,73.56,2.06,71.57,81.79,13.1,0,1,7,6.5,2
67,0,24,83.38,43.71,71.26,80.57,92.57,1.29,82.93,75.17,15.0,0,1,1,5.3,3
68,0,18,75.25,45.44,67.38,90.24,97.59,3.97,76.81,75.44,18.8,0,1,2,4.6,3
69,1,19,79.62,81.59,49.71,74.1,98.16,8.54,53.78,69.54,23.2,1,1,7,6.4,3
70,0,18,98.32,79.17,75.12,59.29,81.86,8.84,68.13,69.66,16.9,0,1,2,4.2,1
71,1,21,55.02,81.18,82.62,,85.23,9.3,75.71,82.56,11.2,0,1,7,6.9,2
72,1,24,81.57,80.07,68.86,79.79,80.24,9.05,70.77,57.39,6.6,0,1,3,5.3,2
73,1,23,,94.02,70.96,94.65,58.66,3.79,93.15,51.93,28.9,0,1,2,8.3,3
74,1,18,68.51,98.54,74.16,53.16,69.91,6.79,84.86,50.08,13.9,0,1,8,5.5,1
75,1,22,71.67,56.88,46.51,64.05,82.57,6.03,96.46,55.17,10.8,0,1,5,6.6,2
76,1,21,51.54,55.17,52.99,91.89,62.18,0.55,79.24,69.83,25.9,1,1,10,5.6,2
77,1,21,67.73,68.4,44.79,,64.33,3.29,77.66,54.77,28.5,1,1,4,8.2,2
78,0,20,63.46,73.41,63.55,86.42,57.16,7.03,56.63,69.57,18.5,0,1,7,4.4,2
79,1,23,89.96,88.49,68.03,,95.05,3.21,59.1,91.12,27.2,0,1,10,4.5,1
80,0,19,99.41,60.99,52.59,62.99,52.67,6.82,63.28,99.42,29.1,1,1,4,7.9,1
81,0,19,54.12,89.56,47.9,58.56,56.8,0.92,77.69,97.46,23.2,0,0,5,8.0,3
82,1,24,83.47,67.92,87.81,60.95,79.36,9.56,77.83,55.75,15.6,0,1,3,5.6,1
83,0,19,70.72,43.49,54.53,52.78,98.71,4.84,84.93,97.23,15.1,0,1,3,7.7,2
84,0,23,65.32,41.34,60.13,67.16,64.06,8.26,56.6,57.21,16.9,0,1,3,5.6,2
85,1,24,63.54,72.15,72.38,90.81,55.07,4.53,70.09,73.67,11.3,0,1,10,7.6,1
86,1,20,85.48,60.27,81.22,70.86,75.48,1.53,68.68,87.05,29.3,0,1,3,6.3,1
87,0,18,59.26,84.96,48.06,62.31,58.56,2.65,95.75,86.38,9.9,0,1,8,6.8,3
88,0,21,82.07,98.76,91.86,56.87,66.86,4.05,79.49,76.24,29.2,0,1,3,6.4,3
89,0,23,67.89,50.14,80.55,53.7,60.53,5.11,96.57,84.57,18.6,0,0,5,7.3,2
90,1,21,95.11,67.7,56.53,99.35,89.39,1.43,87.71,64.4,5.3,0,1,9,7.4,1
91,1,18,62.81,86.26,90.72,53.63,76.66,3.48,73.99,52.35,6.0,1,1,5,8.6,3
92,0,24,56.19,73.45,43.11,86.82,78.87,7.81,88.18,73.03,11.6,0,1,5,5.5,2
93,1,22,66.49,52.09,94.99,68.9,51.44,0.36,61.23,79.96,27.7,1,1,10,7.1,3
94,0,21,91.97,88.14,47.35,72.64,67.72,4.13,60.42,50.81,5.0,0,1,4,4.0,1
95,0,22,53.47,60.93,82.05,53.55,76.65,0.62,68.05,99.82,12.1,0,0,10,8.5,2
96,1,23,,43.09,59.61,81.27,97.01,8.64,50.98,86.43,27.4,1,1,4,8.9,2
97,0,22,57.85,52.93,50.2,59.47,90.56,3.15,98.51,61.14,9.0,1,1,1,6.5,3
98,0,19,79.55,53.39,45.89,79.05,59.87,6.56,56.17,52.48,26.4,0,0,5,6.9,3
99,0,23,73.68,84.0,60.92,97.65,84.13,3.4,97.94,77.11,29.6,0,1,10,4.3,3
100,0,21,99.15,48.94,50.22,94.15,74.11,9.96,78.14,97.38,14.2,0,1,4,8.3,1
101,0,22,64.7,75.73,80.68,59.34,95.57,3.43,66.15,89.48,7.3,1,1,10,7.4,2
102,1,24,65.78,76.54,94.82,84.39,65.82,1.05,90.51,92.92,24.1,0,1,9,7.9,2
103,1,21,84.11,67.02,79.64,61.71,93.15,6.57,58.66,70.12,5.2,1,1,10,8.1,2
104,0,21,,75.59,82.35,55.77,92.09,3.8,97.86,57.32,5.6,0,1,9,5.0,3
105,1,20,,47.22,56.54,65.88,69.96,8.5,55.75,84.68,27.9,0,1,10,4.0,1
106,0,23,90.4,53.83,49.09,75.45,90.35,2.28,84.28,50.53,24.3,1,1,1,4.1,1
107,0,22,72.64,43.87,65.14,84.03,89.58,3.94,88.67,65.11,24.1,0,1,7,7.5,1
108,0,22,69.39,85.98,58.14,,53.05,4.2,88.22,75.34,22.9,0,1,1,5.4,2
109,1,20,51.43,45.99,96.01,98.06,63.86,1.48,75.93,56.88,29.3,0,1,3,7.3,3
110,0,24,86.9,87.74,83.25,,68.7,8.32,70.89,55.78,12.3,0,1,2,6.7,1
111,0,22,81.32,83.95,91.12,97.37,80.52,2.55,80.92,84.46,15.3,1,1,6,6.0,1
112,1,22,70.12,61.66,46.31,75.22,67.43,5.97,87.23,92.03,27.3,0,1,1,4.5,3
113,0,24,51.97,45.24,46.15,86.12,77.01,0.12,63.4,90.56,26.6,0,1,3,6.9,2
114,1,24,70.28,44.02,60.12,,91.13,6.55,96.34,69.3,14.8,0,0,8,8.0,3
115,1,21,78.22,69.67,79.41,86.68,54.27,0.14,85.28,72.38,21.7,0,0,6,8.1,2
116,1,19,86.62,62.62,73.62,95.54,50.11,8.37,90.8,94.75,18.7,0,1,5,4.9,1
117,1,20,67.09,76.47,74.17,92.45,53.37,0.84,72.83,84.54,22.8,1,0,8,8.6,1
118,1,24,68.84,69.55,54.69,,86.8,5.68,92.61,53.33,21.9,0,1,1,7.5,3
119,0,18,86.79,73.43,51.22,97.55,82.55,8.78,95.38,56.82,23.0,1,0,7,7.6,1
120,1,19,55.81,89.11,90.5,84.88,61.54,3.98,81.96,81.22,13.8,0,1,1,7.5,2
121,0,23,85.96,98.75,64.03,53.6,86.69,4.04,94.73,55.82,11.2,0,1,8,6.4,1
122,1,19,97.42,94.97,62.78,97.87,64.74,5.27,82.07,97.64,25.4,0,1,9,4.7,1
123,1,20,63.8,52.65,84.61,97.31,56.96,4.27,94.17,65.73,20.2,0,0,6,8.5,3
124,1,23,93.43,85.24,73.1,,91.63,3.09,85.39,90.27,8.5,0,1,8,6.1,1
125,0,18,,86.13,40.81,75.12,94.66,1.38,56.4,82.78,23.7,0,1,6,8.4,1
126,1,23,54.77,44.56,63.83,63.47,66.74,0.2,67.74,62.38,29.6,0,0,6,4.9,2
127,0,24,96.06,88.84,82.97,50.59,53.36,8.23,63.36,82.47,21.8,0,1,9,7.9,1
128,0,22,81.98,96.19,62.59,58.53,60.54,8.67,89.28,98.2,21.6,0,1,3,8.2,3
129,0,18,76.29,62.61,93.69,57.79,66.41,2.93,92.27,87.2,15.4,0,1,8,4.2,3
130,1,18,59.32,45.25,67.98,80.88,97.89,3.71,92.07,62.76,10.7,1,1,9,8.3,2
131,1,19,88.76,77.13,68.26,81.55,85.26,2.16,81.48,72.71,27.6,0,1,1,6.6,1
132,0,18,62.82,94.63,47.4,86.97,52.51,8.53,85.52,89.28,12.2,0,1,9,5.2,1
133,0,18,70.73,62.09,55.63,65.25,94.59,2.76,58.09,97.25,17.7,0,1,3,6.8,3
134,1,22,73.91,63.92,76.99,69.73,76.04,7.24,75.19,58.11,29.8,0,1,6,4.1,3
135,1,19,90.65,85.88,91.88,51.33,60.65,9.47,81.69,52.84,5.8,1,1,8,7.8,1
136,1,24,93.73,79.65,78.61,,55.88,3.34,81.39,84.16,20.4,0,1,5,8.4,1
137,0,24,85.99,78.47,80.86,69.27,62.55,4.76,71.19,80.7,29.2,1,1,6,4.9,1
138,0,18,82.2,76.63,77.51,50.28,65.32,1.89,77.0,76.23,6.5,0,1,1,5.1,1
139,1,24,54.57,54.01,43.14,70.68,88.77,4.14,85.99,87.17,9.2,0,1,2,7.6,2
140,1,22,,71.21,97.85,85.46,75.16,7.61,93.48,87.66,16.8,0,1,5,6.8,3
141,0,20,92.31,49.41,92.08,93.41,98.56,0.03,89.1,58.36,13.2,0,1,4,7.5,1
142,1,22,,66.36,74.37,80.12,77.89,1.98,57.73,75.67,25.9,0,1,1,7.9,2
143,1,20,99.28,93.59,62.58,79.57,66.71,2.25,96.37,65.26,17.5,0,1,7,5.7,1
144,1,22,56.16,84.25,52.57,65.18,52.33,4.17,55.46,91.29,29.1,1,1,10,7.6,2
145,1,23,56.68,70.38,64.35,99.95,58.45,0.84,82.09,59.33,14.8,0,1,10,8.7,3
146,1,23,95.75,72.35,76.25,50.11,50.17,7.83,52.79,53.19,12.1,0,1,3,4.1,1
147,1,22,,64.14,50.89,92.11,71.11,7.69,66.99,63.03,29.0,0,1,6,8.9,1
148,1,19,92.26,97.89,49.52,81.62,81.93,4.08,69.23,81.1,17.6,0,1,4,8.0,1
149,1,22,51.26,56.53,66.54,72.34,98.74,0.39,55.48,89.56,14.3,0,1,6,7.2,2
150,0,24,52.7,69.67,79.98,63.39,90.89,9.37,60.2,93.38,9.9,0,1,4,7.8,2
151,0,19,,69.92,55.48,75.26,54.36,8.03,64.36,55.88,25.5,0,1,2,4.1,3
152,0,18,85.88,91.31,96.94,78.22,59.62,2.75,68.51,55.02,20.8,0,1,7,4.1,1
153,0,18,72.81,97.4,89.31,81.03,61.94,8.73,71.29,69.12,19.0,0,1,7,6.6,2
154,1,20,92.55,67.4,45.28,60.87,92.43,9.94,88.02,69.67,7.8,1,1,9,7.6,1
155,0,19,66.46,42.6,97.19,61.13,77.64,1.48,82.08,55.52,10.2,1,1,6,8.3,1
156,0,20,50.51,91.17,45.75,53.28,66.12,4.12,72.49,81.53,6.3,1,1,7,5.0,3
157,1,24,53.02,68.22,68.44,51.87,60.04,6.37,52.6,96.96,25.3,1,1,5,8.1,2
158,1,23,96.68,71.18,47.59,96.73,62.49,9.72,65.72,54.97,15.0,0,1,10,8.8,1
159,1,18,96.89,58.03,98.85,56.88,87.5,7.62,78.18,93.03,9.7,0,1,8,8.1,1
160,0,22,87.32,53.96,57.7,77.2,62.36,4.66,61.48,59.97,9.6,0,1,10,5.3,1
161,1,18,80.73,93.46,43.57,71.62,83.6,3.08,99.66,83.59,20.7,1,1,10,5.4,2
162,0,18,71.16,59.67,89.29,88.6,94.67,5.9,50.34,94.15,10.1,0,1,3,4.8,3
163,0,19,96.63,53.42,45.76,81.56,75.49,7.29,62.04,92.93,7.4,0,1,8,6.7,1
164,1,21,,51.13,60.82,90.88,87.83,6.37,64.28,50.64,14.1,0,1,8,8.2,3
165,0,22,90.56,73.02,61.32,65.13,69.89,5.2,82.38,99.29,24.8,0,1,10,6.0,1
166,0,23,92.69,71.22,88.81,52.63,68.31,3.8,64.25,92.6,8.3,0,1,10,7.9,1
167,1,20,98.67,84.51,62.5,61.47,81.53,8.56,98.8,74.72,10.7,0,1,10,6.6,1
168,0,18,,98.67,72.3,79.34,96.81,2.54,67.62,96.23,24.1,0,1,1,8.3,2
169,1,21,95.18,54.76,97.89,54.72,51.7,9.75,82.23,87.31,11.9,0,1,1,6.5,1
170,0,20,73.59,59.88,83.79,78.99,81.59,1.87,74.5,50.63,16.9,0,1,3,6.0,1
171,0,21,62.07,63.33,78.02,96.44,71.54,1.51,51.94,70.3,11.2,0,0,8,5.0,2
172,1,23,57.79,77.04,89.13,80.54,61.64,4.35,54.06,94.17,12.2,0,0,8,4.4,2
173,1,18,69.59,83.83,70.59,64.45,55.27,4.47,79.09,76.28,23.1,1,1,7,4.7,1
174,0,22,98.35,45.14,86.63,91.62,95.86,8.5,91.45,61.86,21.8,0,1,9,6.6,1
175,0,24,80.54,40.54,78.5,73.09,62.55,7.72,93.04,85.91,13.3,0,1,3,6.0,1
176,0,24,52.28,44.46,46.22,51.89,71.89,5.21,70.5,87.8,16.6,0,1,10,6.1,2
177,1,21,,77.64,41.06,98.22,78.15,8.79,89.53,71.95,15.0,0,1,6,6.1,1
178,1,21,55.12,56.57,45.64,90.35,91.87,0.34,92.59,64.24,19.5,0,1,9,8.3,3
179,0,21,59.14,41.15,93.45,75.3,62.74,6.59,59.12,93.74,9.3,0,1,3,8.4,2
180,1,18,74.87,76.16,88.87,74.45,58.56,5.85,94.88,87.78,15.8,0,0,3,8.7,1
181,1,19,83.55,60.16,90.88,74.33,92.48,2.38,62.8,71.04,24.1,1,1,9,7.6,2
182,1,18,51.14,59.77,93.83,,54.33,5.49,81.39,80.25,21.6,0,0,2,8.1,2
183,0,23,62.09,41.78,76.1,83.98,63.22,8.91,99.9,77.64,14.6,0,1,4,4.4,1
184,0,20,65.57,72.24,81.73,57.59,70.93,7.05,79.61,67.76,8.9,1,1,1,6.7,3
185,0,20,,75.38,96.79,95.94,74.57,5.39,79.5,65.03,23.8,1,1,1,7.3,1
186,0,19,58.34,86.02,45.11,98.83,95.01,0.67,89.89,94.47,17.4,0,1,5,5.7,3
187,0,21,58.86,71.57,92.25,63.63,58.88,8.39,58.15,93.88,18.4,1,0,2,6.8,2
188,1,22,89.15,46.85,49.28,75.36,63.87,1.94,57.54,52.94,16.6,1,1,2,4.2,1
189,1,21,78.75,69.03,89.43,74.95,60.4,1.43,97.13,81.7,9.9,0,1,4,8.0,1
190,1,23,93.27,70.29,92.37,72.71,87.45,8.88,64.6,56.29,28.5,1,1,1,5.5,1
191,0,23,92.51,49.67,73.63,83.18,56.59,7.07,71.15,87.94,7.4,0,0,8,6.2,1
192,0,18,62.51,76.55,85.98,96.34,52.37,0.81,62.78,61.73,18.5,0,1,6,8.1,1
193,1,23,85.96,69.72,78.83,,59.5,1.0,94.05,59.4,15.3,0,1,6,6.5,1
194,0,21,,42.74,76.84,99.28,54.24,0.45,50.05,62.57,26.8,0,1,9,6.2,3
195,1,18,86.56,78.38,69.01,70.09,83.73,9.55,55.45,58.88,24.4,0,1,6,6.4,1
196,1,23,67.23,81.16,91.08,61.13,75.62,8.71,95.88,62.38,7.6,0,1,2,4.6,1
197,0,19,65.03,56.16,84.98,85.2,72.25,7.76,57.7,67.16,29.5,0,1,2,8.9,1
198,0,18,96.19,98.77,48.54,66.07,93.95,6.46,59.3,64.03,26.1,1,1,8,5.0,1
199,1,21,73.75,91.97,52.34,86.43,90.79,9.83,69.76,95.43,15.5,1,1,6,7.0,1
200,1,20,52.01,79.84,72.62,86.28,61.03,5.08,87.39,93.47,9.2,0,1,8,5.8,3
201,0,21,69.73,50.96,73.72,51.55,92.39,1.24,83.1,56.71,16.7,0,0,4,7.1,1
202,1,21,85.2,88.3,71.29,64.8,51.91,3.74,93.2,51.48,29.6,1,1,2,5.9,1
203,0,22,80.18,56.88,84.26,70.68,65.34,2.01,75.34,81.7,28.3,1,1,8,7.1,1
204,0,19,76.77,44.03,62.13,77.92,72.6,0.44,73.1,68.69,19.8,1,1,5,6.6,1
205,0,20,99.02,77.46,64.25,60.89,80.78,2.27,96.67,95.87,23.0,1,1,5,6.3,1
206,0,24,94.11,90.41,51.96,,78.14,5.94,60.66,62.91,11.8,0,1,9,7.2,1
207,0,18,99.73,82.71,76.83,,58.64,8.38,58.44,98.4,29.6,0,1,1,6.6,1
208,1,23,77.55,53.17,99.55,86.48,83.71,7.41,93.3,71.68,10.5,1,1,10,5.8,3
209,0,19,94.52,69.86,41.6,57.07,57.54,1.03,88.13,79.21,29.1,0,1,3,4.4,1
210,1,22,76.14,75.12,92.67,83.24,51.22,4.35,86.98,87.71,18.2,0,1,10,4.2,1
211,0,19,76.74,83.03,57.58,78.86,82.61,3.26,98.55,92.47,14.0,0,1,3,8.6,2
212,1,21,93.1,59.47,40.86,53.83,77.41,8.01,74.0,90.31,28.8,0,1,3,5.9,1
213,0,21,94.77,93.71,42.36,84.33,57.44,4.21,71.65,58.42,17.5,0,1,1,6.8,1
214,0,24,74.56,83.49,50.03,56.35,74.06,7.13,86.56,54.66,18.2,0,1,8,7.3,1
215,0,21,98.51,79.54,89.0,65.39,51.19,1.91,71.59,98.14,25.2,0,1,7,6.6,1
216,1,24,54.94,92.77,56.1,92.87,99.61,8.54,97.83,71.67,17.3,0,1,6,7.2,3
217,1,21,68.73,57.42,63.53,88.8,62.83,2.95,97.16,64.28,9.9,1,1,6,6.1,2
218,0,24,79.45,69.33,58.33,70.82,90.18,9.87,61.89,52.45,18.0,1,1,4,6.8,2
219,0,23,68.12,53.87,95.05,95.75,94.6,5.64,50.4,97.03,11.7,0,1,2,4.9,1
220,0,20,,64.52,78.92,53.58,82.23,5.75,94.98,62.01,20.9,0,1,4,4.3,1
221,1,18,78.93,65.75,59.2,65.84,91.59,7.2,98.26,50.8,8.6,0,1,8,7.1,1
222,1,24,58.95,96.33,51.0,55.53,94.08,5.78,60.69,52.56,15.1,0,0,8,5.8,3
223,0,20,87.25,57.74,42.64,58.94,59.84,2.74,96.29,89.44,14.7,0,1,4,7.0,1
224,0,18,75.11,87.83,72.92,91.33,75.95,1.35,62.07,70.37,27.9,0,1,10,5.4,2
225,1,23,75.18,48.74,91.17,,71.77,4.52,93.8,83.33,11.6,0,0,5,8.1,2
226,0,18,73.83,72.78,79.26,82.11,74.9,8.1,56.63,59.63,13.8,0,1,7,8.8,2
227,1,23,53.13,81.42,78.55,58.8,72.79,1.38,91.48,83.13,16.0,0,0,9,5.4,3
228,0,19,,60.34,96.28,,74.48,4.24,88.03,56.08,24.7,1,1,8,5.5,1
229,0,20,71.33,66.77,77.24,55.99,88.62,6.03,86.95,91.43,23.1,1,0,2,5.4,2
230,0,23,53.19,69.97,85.63,58.92,67.36,2.76,84.88,70.17,7.7,0,1,6,7.9,2
231,1,21,75.67,74.5,83.03,85.6,58.6,6.0,52.58,62.31,11.9,0,0,4,5.3,1
232,0,24,85.1,56.86,43.34,93.07,61.58,7.42,64.24,97.32,21.9,1,1,8,6.0,1
233,0,18,72.81,68.12,88.11,87.56,98.65,0.18,67.34,68.71,11.0,0,1,10,8.2,3
234,1,19,91.33,94.28,78.29,74.97,78.66,7.87,62.32,74.05,24.8,1,1,8,6.2,1
235,0,23,52.34,83.62,84.87,73.18,88.23,3.19,61.31,86.72,18.8,0,0,3,6.8,2
236,0,22,71.08,75.3,56.58,76.62,66.77,5.17,78.43,54.29,29.1,1,1,6,8.8,3
237,0,18,70.15,73.79,92.12,62.28,99.37,7.54,94.43,67.36,8.4,1,1,3,6.4,2
238,1,21,86.18,93.67,70.6,90.08,91.45,4.25,50.54,64.1,10.5,1,1,6,6.5,1
239,1,23,89.24,54.19,53.72,55.01,51.2,2.3,65.55,84.83,17.5,0,1,6,4.8,1
240,1,20,56.76,78.6,76.7,58.17,76.1,2.09,67.87,81.2,28.1,0,1,5,6.8,2
241,0,24,69.57,68.35,65.87,95.68,76.33,7.94,64.41,83.88,29.0,0,1,9,6.8,2
242,0,23,76.0,59.07,69.15,93.03,99.49,0.9,75.62,70.95,13.3,1,1,7,6.9,3
243,0,22,68.87,54.12,62.71,71.44,63.23,3.16,95.7,52.29,5.3,1,1,1,6.4,1
244,0,20,,68.33,44.31,74.58,54.15,7.22,93.62,76.93,29.8,0,1,1,9.0,3
245,1,22,84.1,98.37,49.24,62.38,77.52,1.39,60.58,73.42,26.1,1,1,7,5.8,2
246,1,24,75.03,94.45,93.81,66.8,64.16,7.02,67.85,72.6,21.7,0,1,9,4.3,1
247,0,20,,75.22,64.39,51.28,55.17,5.01,72.99,81.79,21.1,0,1,3,4.3,3
248,1,21,83.49,68.78,42.93,85.7,71.44,9.96,70.42,78.96,24.2,1,1,3,5.4,1
249,0,24,66.39,96.46,90.01,74.9,58.25,2.22,77.3,54.94,23.4,0,1,8,4.1,3
250,1,20,69.51,60.22,89.61,98.16,94.83,2.46,62.88,69.05,22.5,0,1,5,4.2,1
251,0,22,,41.38,83.29,73.89,79.99,0.89,84.31,91.15,12.3,0,1,6,5.3,1
252,1,21,52.19,68.82,40.69,99.31,85.9,8.25,65.63,92.12,29.6,0,1,5,6.0,3
253,0,19,74.86,83.9,85.24,84.44,50.56,9.57,79.86,74.64,17.5,1,1,6,6.0,2
254,0,24,67.63,83.31,93.25,51.82,96.18,5.45,92.47,76.36,27.0,0,1,3,6.8,2
255,0,20,84.34,59.6,60.68,65.5,93.44,4.37,82.83,81.16,26.8,0,1,9,5.0,2
